land_cover_id,year,modis_land_cover,esa_land_cover,npv_biome_type,main_id,source_id
land_cover_id-6a26086e-1,2021,Barren,Built-up,Cool Mixed Forest,QC-MAIN-6a26086e,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-b64bae7a-1,2021,Savannas,Built-up,Cold Evergreen Needleleaf Forest,NL-MAIN-b64bae7a,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-18695c6d-1,2021,Savannas,Permanent Water Bodies,Cold Evergreen Needleleaf Forest,NL-MAIN-18695c6d,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-1aa10efa-1,2021,Evergreen Needleleaf Forest,Tree Cover,Cool Mixed Forest,ON-MAIN-1aa10efa,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-23f67ea8-1,2021,Evergreen Needleleaf Forest,Tree Cover,Cold Evergreen Needleleaf Forest,BC-MAIN-23f67ea8,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-6b4800fe-1,2021,Grasslands,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,BC-MAIN-6b4800fe,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-18bed6d7-1,2021,Evergreen Needleleaf Forest,Tree Cover,Cold Evergreen Needleleaf Forest,BC-MAIN-18bed6d7,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-e09881ff-1,2021,Grasslands,Snow/Ice,Cold Evergreen Needleleaf Forest,NL-MAIN-e09881ff,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-b8c826a2-1,2021,Grasslands,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,QC-MAIN-b8c826a2,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-bf503b6b-1,2021,Barren,Bare/Sparse Vegetation,Cool Evergreen Needleleaf Forest,BC-MAIN-bf503b6b,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
