climate_category_id,year,scenario,category,main_id,source_id
CC-be5b3dc8-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",MB-MAIN-be5b3dc8,https://doi.org/10.1038/s41597-023-02549-6
CC-da0b5c3d-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",MB-MAIN-da0b5c3d,https://doi.org/10.1038/s41597-023-02549-6
CC-c0684566-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",MB-MAIN-c0684566,https://doi.org/10.1038/s41597-023-02549-6
CC-0898e255-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",MB-MAIN-0898e255,https://doi.org/10.1038/s41597-023-02549-6
CC-854abe09-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",MB-MAIN-854abe09,https://doi.org/10.1038/s41597-023-02549-6
CC-1a82a1b7-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",MB-MAIN-1a82a1b7,https://doi.org/10.1038/s41597-023-02549-6
CC-b5b81ee3-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",MB-MAIN-b5b81ee3,https://doi.org/10.1038/s41597-023-02549-6
CC-02884fb5-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-02884fb5,https://doi.org/10.1038/s41597-023-02549-6
CC-a3c56a83-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-a3c56a83,https://doi.org/10.1038/s41597-023-02549-6
CC-3f490561-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",BC-MAIN-3f490561,https://doi.org/10.1038/s41597-023-02549-6
CC-586679b9-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",QC-MAIN-586679b9,https://doi.org/10.1038/s41597-023-02549-6
CC-dd723db4-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",NL-MAIN-dd723db4,https://doi.org/10.1038/s41597-023-02549-6
CC-7001a391-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-7001a391,https://doi.org/10.1038/s41597-023-02549-6
CC-9a34108c-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-9a34108c,https://doi.org/10.1038/s41597-023-02549-6
CC-6bd6cc80-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-6bd6cc80,https://doi.org/10.1038/s41597-023-02549-6
CC-a832fb0a-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",MB-MAIN-a832fb0a,https://doi.org/10.1038/s41597-023-02549-6
CC-12730593-1991_2020-historical-1,1991_2020,historical,"Dsc - Cold, dry summer, cold summer",BC-MAIN-12730593,https://doi.org/10.1038/s41597-023-02549-6
CC-575c5e66-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-575c5e66,https://doi.org/10.1038/s41597-023-02549-6
CC-6b998583-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-6b998583,https://doi.org/10.1038/s41597-023-02549-6
CC-0414a373-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-0414a373,https://doi.org/10.1038/s41597-023-02549-6
CC-35d0dc71-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",AB-MAIN-35d0dc71,https://doi.org/10.1038/s41597-023-02549-6
CC-a2c6775d-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-a2c6775d,https://doi.org/10.1038/s41597-023-02549-6
CC-b1d981ca-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-b1d981ca,https://doi.org/10.1038/s41597-023-02549-6
CC-54b7e152-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-54b7e152,https://doi.org/10.1038/s41597-023-02549-6
CC-aa793d35-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-aa793d35,https://doi.org/10.1038/s41597-023-02549-6
CC-649d2873-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-649d2873,https://doi.org/10.1038/s41597-023-02549-6
CC-a555d9b9-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",QC-MAIN-a555d9b9,https://doi.org/10.1038/s41597-023-02549-6
CC-c1e4dee0-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",NB-MAIN-c1e4dee0,https://doi.org/10.1038/s41597-023-02549-6
CC-f021107e-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",NL-MAIN-f021107e,https://doi.org/10.1038/s41597-023-02549-6
CC-615ebdb4-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",QC-MAIN-615ebdb4,https://doi.org/10.1038/s41597-023-02549-6
CC-470b504b-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-470b504b,https://doi.org/10.1038/s41597-023-02549-6
CC-4e0734b5-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-4e0734b5,https://doi.org/10.1038/s41597-023-02549-6
CC-237d67c1-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",QC-MAIN-237d67c1,https://doi.org/10.1038/s41597-023-02549-6
