carbon_stock_ecosystems_id,pool,variable,unit,value,main_id,facility_group_id,source_id
carbon_stock-4724f4ba-9,soc,mean_prim,tC/ha,55.0,BC-MAIN-4724f4ba,,https://zenodo.org/records/15777016
carbon_stock-4959ea63-1,agbc,area_ha,ha,47.43797,BC-MAIN-4959ea63,,https://zenodo.org/records/15777016
carbon_stock-4959ea63-2,agbc,mean_act,tC/ha,31.0,BC-MAIN-4959ea63,,https://zenodo.org/records/15777016
carbon_stock-4959ea63-3,agbc,mean_prim,tC/ha,31.0,BC-MAIN-4959ea63,,https://zenodo.org/records/15777016
carbon_stock-4959ea63-4,bgbc,area_ha,ha,47.43797,BC-MAIN-4959ea63,,https://zenodo.org/records/15777016
carbon_stock-4959ea63-5,bgbc,mean_act,tC/ha,7.0,BC-MAIN-4959ea63,,https://zenodo.org/records/15777016
carbon_stock-4959ea63-6,bgbc,mean_prim,tC/ha,11.0,BC-MAIN-4959ea63,,https://zenodo.org/records/15777016
carbon_stock-4959ea63-7,soc,area_ha,ha,47.43797,BC-MAIN-4959ea63,,https://zenodo.org/records/15777016
carbon_stock-4959ea63-8,soc,mean_act,tC/ha,71.0,BC-MAIN-4959ea63,,https://zenodo.org/records/15777016
carbon_stock-4959ea63-9,soc,mean_prim,tC/ha,84.0,BC-MAIN-4959ea63,,https://zenodo.org/records/15777016
carbon_stock-51068f3b-1,agbc,area_ha,ha,48.319115,BC-MAIN-51068f3b,,https://zenodo.org/records/15777016
carbon_stock-51068f3b-2,agbc,mean_act,tC/ha,42.0,BC-MAIN-51068f3b,,https://zenodo.org/records/15777016
carbon_stock-51068f3b-3,agbc,mean_prim,tC/ha,42.0,BC-MAIN-51068f3b,,https://zenodo.org/records/15777016
carbon_stock-51068f3b-4,bgbc,area_ha,ha,48.319115,BC-MAIN-51068f3b,,https://zenodo.org/records/15777016
carbon_stock-51068f3b-5,bgbc,mean_act,tC/ha,20.0,BC-MAIN-51068f3b,,https://zenodo.org/records/15777016
carbon_stock-51068f3b-6,bgbc,mean_prim,tC/ha,20.0,BC-MAIN-51068f3b,,https://zenodo.org/records/15777016
carbon_stock-51068f3b-7,soc,area_ha,ha,48.319115,BC-MAIN-51068f3b,,https://zenodo.org/records/15777016
carbon_stock-51068f3b-8,soc,mean_act,tC/ha,67.0,BC-MAIN-51068f3b,,https://zenodo.org/records/15777016
carbon_stock-51068f3b-9,soc,mean_prim,tC/ha,84.0,BC-MAIN-51068f3b,,https://zenodo.org/records/15777016
carbon_stock-599152a0-1,agbc,area_ha,ha,55.95816,BC-MAIN-599152a0,,https://zenodo.org/records/15777016
carbon_stock-599152a0-2,agbc,mean_act,tC/ha,15.0,BC-MAIN-599152a0,,https://zenodo.org/records/15777016
carbon_stock-599152a0-3,agbc,mean_prim,tC/ha,50.0,BC-MAIN-599152a0,,https://zenodo.org/records/15777016
carbon_stock-599152a0-4,bgbc,area_ha,ha,55.95816,BC-MAIN-599152a0,,https://zenodo.org/records/15777016
carbon_stock-599152a0-5,bgbc,mean_act,tC/ha,6.0,BC-MAIN-599152a0,,https://zenodo.org/records/15777016
carbon_stock-599152a0-6,bgbc,mean_prim,tC/ha,14.0,BC-MAIN-599152a0,,https://zenodo.org/records/15777016
